show_id,category,title,director,country,release_date,rating,duration,type,description,date
s11,Movie,1922,Zak Hilditch,United States,20/10/2017,TV-MA,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",20/10/2017
s12,TV Show,1983,,"Poland, United States",30/11/2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",30/11/2018
s13,TV Show,1994,Diego Enrique Osorno,Mexico,17/5/2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",17/5/2019
s14,Movie,"2,215",Nottapon Boonprakob,Thailand,1/3/2019,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",3/1/2019
s15,Movie,3022,John Suits,United States,19/3/2020,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",19/3/2020
s16,Movie,Oct-01,Kunle Afolayan,Nigeria,1/9/2019,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",9/1/2019
s17,TV Show,Feb-09,,,20/3/2019,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",20/3/2019
s18,Movie,22-Jul,Paul Greengrass,"Norway, Iceland, United States",10/10/2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",10/10/2018
s19,Movie,15-Aug,Swapnaneel Jayakar,India,29/3/2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",29/3/2019
s20,Movie,'89,,United Kingdom,16/5/2018,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",16/5/2018
s21,Movie,​​Kuch Bheege Alfaaz,Onir,India,1/9/2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",9/1/2018
s22,Movie,​Goli Soda 2,Vijay Milton,India,15/9/2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",15/9/2018
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,India,15/9/2018,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",15/9/2018
s24,Movie,​Mayurakshi,Atanu Ghosh,India,15/9/2018,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",15/9/2018
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,Japan,23/1/2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",23/1/2020
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",United States,30/6/2016,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,30/6/2016
s27,TV Show,(Un)Well,,United States,12/8/2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",8/12/2020
s28,Movie,#Alive,Cho Il,South Korea,8/9/2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",9/8/2020
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",Italy,1/7/2020,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",7/1/2020
s30,TV Show,#blackAF,,United States,17/4/2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",17/4/2020
s31,Movie,#cats_the_mewvie,Michael Margolis,Canada,5/2/2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",2/5/2020
s32,Movie,#FriendButMarried,Rako Prijanto,Indonesia,21/5/2020,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",21/5/2020
s33,Movie,#FriendButMarried 2,Rako Prijanto,Indonesia,28/6/2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",28/6/2020
s34,Movie,#realityhigh,Fernando Lebrija,United States,8/9/2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",9/8/2017
s35,Movie,#Roxy,Michael Kennedy,Canada,10/4/2019,TV-14,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,4/10/2019
s36,Movie,#Rucker50,Robert McCullough Jr.,United States,1/12/2016,TV-PG,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,12/1/2016
s37,Movie,#Selfie,Cristina Jacob,Romania,1/6/2019,TV-MA,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",6/1/2019
s38,Movie,#Selfie 69,Cristina Jacob,Romania,1/6/2019,TV-MA,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",6/1/2019
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,,30/3/2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",30/3/2019
s40,Movie,"¡Ay, mi madre!",Frank Ariza,Spain,19/7/2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",19/7/2019
s41,Movie,Çarsi Pazar,Muharrem Gülmez,Turkey,10/3/2017,TV-14,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,3/10/2017
s42,Movie,Ég man þig,Óskar Thór Axelsson,Iceland,27/3/2018,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",27/3/2018
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,Turkey,10/3/2017,TV-MA,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",3/10/2017
s44,Movie,Òlòtūré,Kenneth Gyang,Nigeria,2/10/2020,TV-MA,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",10/2/2020
s45,Movie,Æon Flux,Karyn Kusama,United States,1/2/2018,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",2/1/2018
s46,TV Show,Şubat,,Turkey,17/1/2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",17/1/2017
s47,Movie,1 Chance 2 Dance,Adam Deyoe,United States,1/7/2017,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",7/1/2017
s48,Movie,1 Mile to You,Leif Tilden,United States,7/7/2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",7/7/2017
s49,Movie,10 Days in Sun City,Adze Ugah,"South Africa, Nigeria",18/10/2019,TV-14,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",18/10/2019
s50,Movie,10 jours en or,Nicolas Brossette,France,1/7/2017,TV-14,97 min,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",7/1/2017
s51,Movie,"10,000 B.C.",Roland Emmerich,"United States, South Africa",1/6/2019,PG-13,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,6/1/2019
s52,TV Show,100 Days My Prince,,South Korea,7/12/2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",12/7/2020
s53,Movie,100 Days Of Solitude,,Spain,6/7/2018,TV-MA,93 min,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",7/6/2018
s54,TV Show,100 Humans,,United States,13/3/2020,TV-14,1 Season,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",13/3/2020
s55,Movie,100 Meters,Marcel Barrena,"Portugal, Spain",10/3/2017,TV-MA,109 min,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",3/10/2017
s56,Movie,100 Things to do Before High School,,United States,2/11/2019,TV-Y,44 min,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",11/2/2019
s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,United States,20/3/2018,TV-14,75 min,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.,20/3/2018
s58,Movie,100% Halal,Jastis Arimba,Indonesia,7/1/2021,TV-14,101 min,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",1/7/2021
s59,TV Show,100% Hotter,,United Kingdom,1/11/2019,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",11/1/2019
s60,Movie,1000 Rupee Note,Shrihari Sathe,India,1/12/2016,TV-14,89 min,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",12/1/2016
s61,Movie,12 ROUND GUN,Sam Upton,United States,14/3/2019,TV-MA,90 min,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",14/3/2019
s62,TV Show,12 Years Promise,,South Korea,22/5/2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",22/5/2017
s63,Movie,13 Cameras,Victor Zarcoff,United States,13/8/2016,NR,90 min,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",13/8/2016
s64,TV Show,13 Reasons Why,,United States,5/6/2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",6/5/2020
s65,TV Show,13 Reasons Why: Beyond the Reasons,,United States,23/8/2019,TV-MA,3 Seasons,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",23/8/2019
s66,Movie,13 Sins,Daniel Stamm,United States,13/1/2019,R,93 min,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",13/1/2019
s67,Movie,13TH,Ava DuVernay,United States,7/10/2016,TV-MA,101 min,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",10/7/2016
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,,26/1/2017,,37 min,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",26/1/2017
s69,Movie,14 Blades,Daniel Lee,"Hong Kong, China, Singapore",3/4/2019,R,113 min,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",4/3/2019
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller",United States,27/10/2018,TV-MA,89 min,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",27/10/2018
s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",United States,1/2/2019,TV-MA,84 min,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,2/1/2019
s72,Movie,16 Blocks,Richard Donner,"United States, Germany",1/11/2019,PG-13,102 min,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",11/1/2019
s73,Movie,17 Again,Burr Steers,United States,1/1/2021,PG-13,102 min,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",1/1/2021
s74,Movie,18 Presents,Francesco Amato,Italy,8/5/2020,TV-MA,114 min,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,5/8/2020
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,Spain,2/6/2017,R,130 min,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",6/2/2017
s76,Movie,1BR,David Marmor,United States,23/8/2020,TV-MA,90 min,"Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",23/8/2020
s77,Movie,1st Summoning,Raymond Wood,United States,26/7/2019,TV-MA,94 min,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",26/7/2019
s78,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,1/6/2020,TV-MA,97 min,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",6/1/2020
s79,Movie,2 States,Abhishek Varman,India,4/8/2018,TV-PG,143 min,"Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",8/4/2018
s80,Movie,20 Feet From Stardom,Morgan Neville,United States,22/9/2018,PG-13,91 min,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",22/9/2018
s81,TV Show,20 Minutes,,Turkey,15/8/2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",15/8/2017
s82,Movie,2015 Dream Concert,,South Korea,28/4/2017,TV-PG,107 min,"International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",28/4/2017
s83,Movie,2036 Origin Unknown,Hasraf Dulull,United Kingdom,20/12/2018,TV-14,95 min,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",20/12/2018
s84,Movie,20th Century Women,Mike Mills,United States,28/6/2019,R,119 min,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",28/6/2019
s85,Movie,21 & Over,"Jon Lucas, Scott Moore",United States,16/4/2019,R,93 min,Comedies,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,16/4/2019
s86,TV Show,21 Again,,United Kingdom,1/7/2020,TV-MA,1 Season,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",7/1/2020
s87,TV Show,21 Sarfarosh: Saragarhi 1897,,India,1/12/2018,TV-14,1 Season,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",12/1/2018
s88,TV Show,21 Thunder,,Canada,1/3/2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",3/1/2018
s89,Movie,2307: Winter's Dream,Joey Curtis,United States,1/3/2018,TV-MA,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",3/1/2018
s90,Movie,24 Hours to Live,Brian Smrz,"South Africa, China, United States",7/4/2018,R,93 min,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",4/7/2018
s91,Movie,25 Kille,Simranjit Singh Hundal,India,1/10/2018,TV-14,140 min,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",10/1/2018
s92,Movie,26 Years,Geun-hyun Cho,South Korea,1/10/2017,TV-MA,135 min,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.",10/1/2017
s93,Movie,"27, el club de los malditos",Nicanor Loreti,Argentina,1/5/2018,TV-MA,82 min,"Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.",5/1/2018
s94,Movie,27: Gone Too Soon,Simon Napier-Bell,United Kingdom,1/5/2018,TV-MA,70 min,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.",5/1/2018
s95,Movie,28 Days,Betty Thomas,United States,30/9/2020,PG-13,104 min,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",30/9/2020
s96,TV Show,28 Moons,,South Korea,10/6/2017,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",6/10/2017
s97,Movie,3 Days to Kill,McG,"United States, France, Serbia",1/12/2020,PG-13,117 min,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,12/1/2020
s98,Movie,3 Deewarein,Nagesh Kukunoor,,31/12/2019,TV-MA,121 min,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",31/12/2019
s99,Movie,3 Generations,Gaby Dellal,United States,28/8/2017,PG-13,92 min,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",28/8/2017
s100,Movie,3 Heroines,Iman Brotoseno,Indonesia,5/1/2019,TV-PG,124 min,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,1/5/2019
s101,Movie,3 Idiots,Rajkumar Hirani,India,1/8/2019,PG-13,164 min,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",8/1/2019
s102,Movie,3 Seconds Divorce,Shazia Javed,Canada,15/6/2019,TV-PG,53 min,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",15/6/2019
s103,Movie,3 Türken & ein Baby,Sinan Akkuş,Germany,15/12/2016,TV-MA,93 min,"Comedies, International Movies",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,15/12/2016
s104,Movie,30 Days of Luxury,Hani Hamdi,Egypt,18/4/2019,TV-14,91 min,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",18/4/2019
s105,Movie,30 Minutes or Less,Ruben Fleischer,United States,1/1/2021,R,83 min,"Action & Adventure, Comedies",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,1/1/2021
s106,Movie,300 Miles to Heaven,Maciej Dejczer,"Denmark, France, Poland",1/10/2019,TV-14,93 min,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",10/1/2019
s107,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes",Poland,7/6/2020,TV-MA,114 min,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",6/7/2020
s108,Movie,37 Seconds,Hikari,Japan,31/1/2020,TV-MA,116 min,"Dramas, International Movies","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",31/1/2020
s109,TV Show,3Below: Tales of Arcadia,,United States,12/7/2019,TV-Y7,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",7/12/2019
s110,Movie,40 Sticks,Victor Gatonye,Kenya,20/11/2020,TV-14,93 min,"International Movies, Thrillers","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",20/11/2020
s111,Movie,42 Grams,Jack C. Newell,United States,1/2/2018,TV-MA,81 min,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",2/1/2018
s112,TV Show,44 Cats,,Italy,1/10/2020,TV-Y7,2 Seasons,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",10/1/2020
s113,TV Show,45 rpm,,Spain,16/8/2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",16/8/2019
s114,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",Canada,20/12/2017,TV-G,84 min,"Children & Family Movies, Comedies","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",20/12/2017
s115,Movie,4L,Gerardo Olivares,Spain,12/7/2019,TV-MA,105 min,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",7/12/2019
s116,Movie,4th Man Out,Andrew Nackman,United States,5/5/2016,NR,86 min,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",5/5/2016
s117,Movie,4th Republic,Ishaya Bako,Nigeria,13/6/2020,TV-MA,120 min,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",13/6/2020
s118,Movie,5 Cowok Jagoan,Anggy Umbara,,5/1/2019,TV-MA,106 min,"Action & Adventure, Comedies, International Movies",Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.,1/5/2019
s119,Movie,5 Flights Up,Richard Loncraine,United States,17/3/2019,PG-13,92 min,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",17/3/2019
s120,Movie,5 Star Christmas,Marco Risi,Italy,7/12/2018,TV-14,96 min,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",12/7/2018
s121,Movie,5 to 7,Victor Levin,United States,16/3/2017,R,97 min,"Comedies, Dramas, Romantic Movies",A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.,16/3/2017
